xmin,ymin,xmax,ymax,label,width,height,images,annotation,cropped_images
185,100,226,144,with_mask,512,366,maksssksksss0.png,maksssksksss0.xml,maksssksksss0-0.png
79,105,109,142,without_mask,512,366,maksssksksss0.png,maksssksksss0.xml,maksssksksss0-1.png
325,90,360,141,without_mask,512,366,maksssksksss0.png,maksssksksss0.xml,maksssksksss0-2.png
369,70,398,99,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-3.png
21,73,44,93,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-4.png
191,67,221,93,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-5.png
83,56,111,89,without_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-6.png
143,74,174,115,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-7.png
299,58,315,81,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-8.png
224,38,261,73,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-9.png
321,34,354,69,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-10.png
74,69,95,99,with_mask,400,156,maksssksksss1.png,maksssksksss1.xml,maksssksksss1-11.png
98,267,194,383,with_mask,301,400,maksssksksss10.png,maksssksksss10.xml,maksssksksss10-12.png
118,87,163,126,with_mask,400,226,maksssksksss100.png,maksssksksss100.xml,maksssksksss100-13.png
387,54,400,75,with_mask,400,226,maksssksksss100.png,maksssksksss100.xml,maksssksksss100-14.png
189,30,245,88,with_mask,400,226,maksssksksss100.png,maksssksksss100.xml,maksssksksss100-15.png
48,294,164,400,with_mask,301,400,maksssksksss101.png,maksssksksss101.xml,maksssksksss101-16.png
212,57,251,106,with_mask,400,225,maksssksksss102.png,maksssksksss102.xml,maksssksksss102-17.png
188,46,236,106,with_mask,400,300,maksssksksss103.png,maksssksksss103.xml,maksssksksss103-18.png
42,54,94,110,with_mask,400,300,maksssksksss103.png,maksssksksss103.xml,maksssksksss103-19.png
368,112,400,151,with_mask,400,300,maksssksksss103.png,maksssksksss103.xml,maksssksksss103-20.png
261,88,303,130,with_mask,400,300,maksssksksss103.png,maksssksksss103.xml,maksssksksss103-21.png
133,108,174,152,with_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-22.png
30,88,46,105,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-23.png
304,131,331,158,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-24.png
2,105,22,125,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-25.png
42,109,66,140,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-26.png
83,85,96,96,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-27.png
167,91,180,108,without_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-28.png
221,101,256,139,with_mask,400,267,maksssksksss104.png,maksssksksss104.xml,maksssksksss104-29.png
178,143,213,202,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-30.png
26,34,52,66,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-31.png
29,202,65,265,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-32.png
33,88,65,131,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-33.png
280,103,312,145,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-34.png
243,36,267,67,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-35.png
365,53,390,84,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-36.png
320,79,352,119,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-37.png
115,47,146,87,with_mask,400,267,maksssksksss105.png,maksssksksss105.xml,maksssksksss105-38.png
154,51,423,391,with_mask,600,399,maksssksksss106.png,maksssksksss106.xml,maksssksksss106-39.png
121,192,212,312,with_mask,301,400,maksssksksss107.png,maksssksksss107.xml,maksssksksss107-40.png
155,29,180,51,with_mask,400,225,maksssksksss108.png,maksssksksss108.xml,maksssksksss108-41.png
206,35,228,58,with_mask,400,225,maksssksksss108.png,maksssksksss108.xml,maksssksksss108-42.png
332,67,346,81,with_mask,400,225,maksssksksss108.png,maksssksksss108.xml,maksssksksss108-43.png
362,68,376,82,with_mask,400,225,maksssksksss108.png,maksssksksss108.xml,maksssksksss108-44.png
267,72,278,83,without_mask,400,225,maksssksksss108.png,maksssksksss108.xml,maksssksksss108-45.png
216,92,372,251,with_mask,400,400,maksssksksss109.png,maksssksksss109.xml,maksssksksss109-46.png
243,192,293,247,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-47.png
362,32,372,40,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-48.png
290,31,304,41,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-49.png
253,33,267,45,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-50.png
207,47,222,63,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-51.png
227,36,239,48,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-52.png
232,50,247,67,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-53.png
214,76,237,99,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-54.png
195,90,214,113,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-55.png
275,99,303,128,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-56.png
249,108,276,140,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-57.png
309,182,346,224,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-58.png
23,114,77,172,mask_weared_incorrect,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-59.png
147,157,200,211,with_mask,400,267,maksssksksss11.png,maksssksksss11.xml,maksssksksss11-60.png
